COUNTRY,ISO3,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),HAZARD & EXPOSURE,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Probability,Current Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LACK OF COPING CAPACITY,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Countries in HVC,Recentness data (average years),INFORM_2016,Rank_2016
Chile,CHL,3.1,Low,103,3.165591398,3.2,5.4,9.6,5.5,8.6,0,2.7,0.3,2.3,0.1,0.2,0,3.6,1.3,0.8,3.5,0,5.4,7.9,0.6,0.3,0.5,1.6,0.8,2.7,3.5,3.2,3.7,1.9,1.2,2.7,1.7,8,0.156862745,,0.193548387,2.6,126
China,CHN,2.9,Low,115,3.983068783,5.3,7.8,6.7,9.3,9,7.8,9,4.6,5.4,0.9,1.8,0,1.4,2.4,3.4,2.8,0,0.3,0,0.3,0.5,0.2,0.8,0.5,3.2,3.7,2.5,4.9,2.6,1.8,3.3,2.8,7,0.137254902,,0.396825397,4,69
Côte d'Ivoire,CIV,4.2,Medium,61,1.333333333,1.8,3.1,0.1,4.8,0.9,0,2.1,0.9,8.1,0.3,0.6,0,6.3,5.8,8.1,5.4,1.5,6.8,8.8,4.8,4.2,0,2,3,6.5,6.9,7.8,5.9,6.1,3.2,7.2,7.8,1,0.019607843,,0.2,4.6,45
Cameroon,CMR,6.5,High,18,1.220657277,7.3,3.7,0.1,6.7,0,0,2.6,3.9,7.8,9.2,9.9,8,6.6,5.7,7.8,5.9,1.3,7.3,9.3,4.1,3.9,2.3,1.7,3.1,5.8,4.9,2.6,7.1,6.5,4.7,7.2,7.7,0,0,YES,0.183098592,6.3,18
Congo DR,COD,8,Very High,4,1.857142857,8.3,4.1,4.2,7,0,0,1,2.3,8.5,10,10,10,7.7,6.6,8.9,6.5,2,8.5,9.6,5.1,5.5,6.2,8.4,6.5,8,7.9,7.5,8.3,8,6.8,9.5,7.8,1,0.019607843,YES,0.228571429,7.8,5
Congo,COG,4.4,Medium,51,3.847619048,2.1,3.4,0.1,7.6,0,0,2,0.9,7.4,0.6,1.2,0,5.6,5.7,6.9,6.8,2.1,5.5,6.2,6,3,1.3,7.1,4.8,7.4,7.8,x,7.8,7,5.8,8,7.1,1,0.019607843,,0.671428571,4.6,45
Colombia,COL,5.6,High,28,3.024875622,8,6.4,8.9,7,8.1,4,6.2,1.8,5.2,9,9.9,7.5,6.2,3.8,3.9,6.3,1.1,7.8,10,0.7,0.9,2.4,1.3,1.3,3.5,4.3,3,5.5,2.6,1.5,3.4,3,4,0.078431373,YES,0.253731343,5.4,28
Comoros,COM,3.3,Medium,96,4.758974359,1.1,2,0.1,0,2,1.5,2.9,0,5.7,0.1,0.2,0,4.7,6.8,7.5,5.1,7,1.6,0,2.1,3.8,0,4.8,2.9,7,8,7.8,8.2,5.6,5.1,5.8,5.9,4,0.078431373,,0.692307692,3.3,97
Cabo Verde,CPV,2.2,Low,154,3.2,0.9,1.7,0.1,0,0,0,0,4.9,4.7,0.1,0.1,0,3.3,4.7,4.8,4.4,4.7,1.6,1.1,1.3,0.9,1.9,4,2.1,3.6,3.9,3.4,4.4,3.3,2.6,2.7,4.7,9,0.176470588,,0.15,2.3,145
Costa Rica,CRI,3.2,Medium,99,1.969230769,3.1,5.3,9.1,2.4,8.3,1.3,4.1,1,4.9,0.1,0.1,0,4.2,2.2,1.5,4.4,1.3,5.8,8.3,0.3,0.6,1.6,2,1.1,2.5,3.1,1.5,4.7,1.8,1.2,1.9,2.4,4,0.078431373,,0.169230769,2.8,120
Cuba,CUB,2.6,Low,131,3.71147541,2.8,4.9,5,0.5,3.2,8,5.7,4,5,0.1,0.2,0,2,2.2,2.2,4,0.4,1.7,0,0.4,0.6,7.3,1.3,3.1,3,4.2,2.5,5.8,1.5,2.5,1.9,0.1,9,0.176470588,,0.245901639,2.3,145
Cyprus,CYP,2.6,Low,131,3.449180328,1.6,3,6.9,0,4,0,2.9,2.6,2.4,0,0,0,4.3,0.7,0,2.5,0.3,6.6,9.2,0.1,0.3,0,2,0.6,2.5,4.1,x,4.1,0.5,0.9,0,0.7,9,0.176470588,,0.196721311,2.5,131
Czech Republic,CZE,1.8,Very Low,173,3.566101695,0.9,1.6,0.5,5.7,0,0,0,1.3,1.8,0.1,0.1,0,3.4,0.4,0.1,0.9,0.3,5.5,8.2,0.1,0.2,0,1,0.3,2,3.1,2.5,3.6,0.7,1.7,0,0.3,11,0.215686275,,0.118644068,1.4,181
Germany,DEU,2.4,Low,144,3.532240437,2.3,4,3.7,7.8,0,0,8,1.3,1.6,0.1,0.1,0,3.9,0.4,0,1.3,0.1,6.2,8.9,0.1,0.2,0,0.4,0.2,1.6,2.5,2.7,2.3,0.6,1.5,0,0.4,8,0.156862745,,0.262295082,2.1,151
Djibouti,DJI,4.4,Medium,51,4.1,2.6,4.5,5.4,0,4.9,0,4.3,7.9,5.5,0.2,0.3,0,5.2,5.5,7.7,4.1,2.5,4.9,6.1,2,3.8,4.2,3.6,3.4,6.1,6.2,5.5,6.8,6,4.8,5.8,7.3,6,0.117647059,,0.46875,4.8,38
Dominica,DMA,2.9,Low,115,6.723404255,2.1,3.8,3.8,0,5.5,7.8,2,0,4,0,0,0,2.8,4.3,3.2,x,6.5,0.9,0,0.2,2.5,0,4,1.8,4,4.8,x,4.8,3,2.6,1,5.4,20,0.392156863,,0.510638298,3,111
